model	task	template	fewshot	seed	postproc	timestamp	filename	BLEU
bloom-1b1	wmt14_fr_en	a_good_translation-fr-en-target	0	1234	newline-cut	2022-08-25T22_20_52	examples.model=bloom-1b1.task=wmt14_fr_en.templates=a_good_translation-fr-en-target.fewshot=0.seed=1234.timestamp=2022-08-25T22_20_52.newline-cut.tsv	11.96
bloom-1b1	wmt14_fr_en	a_good_translation-fr-en-target	0	1234		2022-08-25T22_20_52	examples.model=bloom-1b1.task=wmt14_fr_en.templates=a_good_translation-fr-en-target.fewshot=0.seed=1234.timestamp=2022-08-25T22_20_52.tsv	11.44
bloom-1b1	wmt14_fr_en	gpt-3-en-fr-target	0	1234	newline-cut-custom-truncate	2022-08-25T22_20_52	examples.model=bloom-1b1.task=wmt14_fr_en.templates=gpt-3-en-fr-target.fewshot=0.seed=1234.timestamp=2022-08-25T22_20_52.newline-cut-custom-truncate.tsv	1.06
bloom-1b1	wmt14_fr_en	gpt-3-en-fr-target	0	1234	newline-cut	2022-08-25T22_20_52	examples.model=bloom-1b1.task=wmt14_fr_en.templates=gpt-3-en-fr-target.fewshot=0.seed=1234.timestamp=2022-08-25T22_20_52.newline-cut.tsv	0.78
bloom-1b1	wmt14_fr_en	gpt-3-en-fr-target	0	1234		2022-08-25T22_20_52	examples.model=bloom-1b1.task=wmt14_fr_en.templates=gpt-3-en-fr-target.fewshot=0.seed=1234.timestamp=2022-08-25T22_20_52.tsv	0.77
bloom-1b1	wmt14_fr_en	gpt-3-fr-en-target	0	1234	newline-cut-custom-truncate	2022-08-25T22_20_52	examples.model=bloom-1b1.task=wmt14_fr_en.templates=gpt-3-fr-en-target.fewshot=0.seed=1234.timestamp=2022-08-25T22_20_52.newline-cut-custom-truncate.tsv	1.29
bloom-1b1	wmt14_fr_en	gpt-3-fr-en-target	0	1234	newline-cut	2022-08-25T22_20_52	examples.model=bloom-1b1.task=wmt14_fr_en.templates=gpt-3-fr-en-target.fewshot=0.seed=1234.timestamp=2022-08-25T22_20_52.newline-cut.tsv	0.73
bloom-1b1	wmt14_fr_en	gpt-3-fr-en-target	0	1234		2022-08-25T22_20_52	examples.model=bloom-1b1.task=wmt14_fr_en.templates=gpt-3-fr-en-target.fewshot=0.seed=1234.timestamp=2022-08-25T22_20_52.tsv	0.73
bloom-1b1	wmt14_fr_en	translate_as-en-fr-target	0	1234	newline-cut-custom-truncate	2022-12-28T19_52_13	examples.model=bloom-1b1.task=wmt14_fr_en.templates=translate_as-en-fr-target.fewshot=0.seed=1234.timestamp=2022-12-28T19_52_13.newline-cut-custom-truncate.tsv	4.40
bloom-1b1	wmt14_fr_en	translate_as-en-fr-target	0	1234	newline-cut	2022-12-28T19_52_13	examples.model=bloom-1b1.task=wmt14_fr_en.templates=translate_as-en-fr-target.fewshot=0.seed=1234.timestamp=2022-12-28T19_52_13.newline-cut.tsv	4.42
bloom-1b1	wmt14_fr_en	translate_as-en-fr-target	0	1234		2022-12-28T19_52_13	examples.model=bloom-1b1.task=wmt14_fr_en.templates=translate_as-en-fr-target.fewshot=0.seed=1234.timestamp=2022-12-28T19_52_13.tsv	2.44
bloom-1b1	wmt14_fr_en	translate_as-fr-en-target	0	1234	newline-cut-custom-truncate	2022-12-29T11_23_11	examples.model=bloom-1b1.task=wmt14_fr_en.templates=translate_as-fr-en-target.fewshot=0.seed=1234.timestamp=2022-12-29T11_23_11.newline-cut-custom-truncate.tsv	9.25
bloom-1b1	wmt14_fr_en	translate_as-fr-en-target	0	1234	newline-cut	2022-12-29T11_23_11	examples.model=bloom-1b1.task=wmt14_fr_en.templates=translate_as-fr-en-target.fewshot=0.seed=1234.timestamp=2022-12-29T11_23_11.newline-cut.tsv	9.08
bloom-1b1	wmt14_fr_en	translate_as-fr-en-target	0	1234		2022-12-29T11_23_11	examples.model=bloom-1b1.task=wmt14_fr_en.templates=translate_as-fr-en-target.fewshot=0.seed=1234.timestamp=2022-12-29T11_23_11.tsv	5.76
bloom-1b1	wmt14_fr_en	version-en-fr-target	0	1234	newline-cut-custom-truncate	2022-08-25T22_20_52	examples.model=bloom-1b1.task=wmt14_fr_en.templates=version-en-fr-target.fewshot=0.seed=1234.timestamp=2022-08-25T22_20_52.newline-cut-custom-truncate.tsv	1.20
bloom-1b1	wmt14_fr_en	version-en-fr-target	0	1234	newline-cut	2022-08-25T22_20_52	examples.model=bloom-1b1.task=wmt14_fr_en.templates=version-en-fr-target.fewshot=0.seed=1234.timestamp=2022-08-25T22_20_52.newline-cut.tsv	1.20
bloom-1b1	wmt14_fr_en	version-en-fr-target	0	1234		2022-08-25T22_20_52	examples.model=bloom-1b1.task=wmt14_fr_en.templates=version-en-fr-target.fewshot=0.seed=1234.timestamp=2022-08-25T22_20_52.tsv	1.04
bloom-1b1	wmt14_fr_en	version-fr-en-target	0	1234	newline-cut-custom-truncate	2022-08-25T22_20_52	examples.model=bloom-1b1.task=wmt14_fr_en.templates=version-fr-en-target.fewshot=0.seed=1234.timestamp=2022-08-25T22_20_52.newline-cut-custom-truncate.tsv	13.82
bloom-1b1	wmt14_fr_en	version-fr-en-target	0	1234	newline-cut	2022-08-25T22_20_52	examples.model=bloom-1b1.task=wmt14_fr_en.templates=version-fr-en-target.fewshot=0.seed=1234.timestamp=2022-08-25T22_20_52.newline-cut.tsv	13.58
bloom-1b1	wmt14_fr_en	version-fr-en-target	0	1234		2022-08-25T22_20_52	examples.model=bloom-1b1.task=wmt14_fr_en.templates=version-fr-en-target.fewshot=0.seed=1234.timestamp=2022-08-25T22_20_52.tsv	10.21
bloom-1b1	wmt14_fr_en	xglm-en-fr-source+target	0	1234	newline-cut-custom-truncate	2022-12-25T20_33_06	examples.model=bloom-1b1.task=wmt14_fr_en.templates=xglm-en-fr-source+target.fewshot=0.seed=1234.timestamp=2022-12-25T20_33_06.newline-cut-custom-truncate.tsv	7.92
bloom-1b1	wmt14_fr_en	xglm-en-fr-source+target	0	1234	newline-cut	2022-12-25T20_33_06	examples.model=bloom-1b1.task=wmt14_fr_en.templates=xglm-en-fr-source+target.fewshot=0.seed=1234.timestamp=2022-12-25T20_33_06.newline-cut.tsv	4.05
bloom-1b1	wmt14_fr_en	xglm-en-fr-source+target	0	1234		2022-12-25T20_33_06	examples.model=bloom-1b1.task=wmt14_fr_en.templates=xglm-en-fr-source+target.fewshot=0.seed=1234.timestamp=2022-12-25T20_33_06.tsv	3.89
bloom-1b1	wmt14_fr_en	xglm-en-fr-target	0	1234	newline-cut-custom-truncate	2022-08-25T22_20_52	examples.model=bloom-1b1.task=wmt14_fr_en.templates=xglm-en-fr-target.fewshot=0.seed=1234.timestamp=2022-08-25T22_20_52.newline-cut-custom-truncate.tsv	2.19
bloom-1b1	wmt14_fr_en	xglm-en-fr-target	0	1234	newline-cut	2022-08-25T22_20_52	examples.model=bloom-1b1.task=wmt14_fr_en.templates=xglm-en-fr-target.fewshot=0.seed=1234.timestamp=2022-08-25T22_20_52.newline-cut.tsv	1.59
bloom-1b1	wmt14_fr_en	xglm-en-fr-target	0	1234		2022-08-25T22_20_52	examples.model=bloom-1b1.task=wmt14_fr_en.templates=xglm-en-fr-target.fewshot=0.seed=1234.timestamp=2022-08-25T22_20_52.tsv	1.44
bloom-1b1	wmt14_fr_en	xglm-fr-en-source+target	0	1234	newline-cut-custom-truncate	2022-12-26T23_04_14	examples.model=bloom-1b1.task=wmt14_fr_en.templates=xglm-fr-en-source+target.fewshot=0.seed=1234.timestamp=2022-12-26T23_04_14.newline-cut-custom-truncate.tsv	20.42
bloom-1b1	wmt14_fr_en	xglm-fr-en-source+target	0	1234	newline-cut	2022-12-26T23_04_14	examples.model=bloom-1b1.task=wmt14_fr_en.templates=xglm-fr-en-source+target.fewshot=0.seed=1234.timestamp=2022-12-26T23_04_14.newline-cut.tsv	9.78
bloom-1b1	wmt14_fr_en	xglm-fr-en-source+target	0	1234		2022-12-26T23_04_14	examples.model=bloom-1b1.task=wmt14_fr_en.templates=xglm-fr-en-source+target.fewshot=0.seed=1234.timestamp=2022-12-26T23_04_14.tsv	8.74
bloom-1b1	wmt14_fr_en	xglm-fr-en-target	0	1234	newline-cut-custom-truncate	2022-08-25T22_20_52	examples.model=bloom-1b1.task=wmt14_fr_en.templates=xglm-fr-en-target.fewshot=0.seed=1234.timestamp=2022-08-25T22_20_52.newline-cut-custom-truncate.tsv	5.62
bloom-1b1	wmt14_fr_en	xglm-fr-en-target	0	1234	newline-cut	2022-08-25T22_20_52	examples.model=bloom-1b1.task=wmt14_fr_en.templates=xglm-fr-en-target.fewshot=0.seed=1234.timestamp=2022-08-25T22_20_52.newline-cut.tsv	4.05
bloom-1b1	wmt14_fr_en	xglm-fr-en-target	0	1234		2022-08-25T22_20_52	examples.model=bloom-1b1.task=wmt14_fr_en.templates=xglm-fr-en-target.fewshot=0.seed=1234.timestamp=2022-08-25T22_20_52.tsv	3.42
bloom-1b7	wmt14_fr_en	translate_as-en-fr-target	0	1234	newline-cut-custom-truncate	2022-12-29T11_23_12	examples.model=bloom-1b7.task=wmt14_fr_en.templates=translate_as-en-fr-target.fewshot=0.seed=1234.timestamp=2022-12-29T11_23_12.newline-cut-custom-truncate.tsv	5.83
bloom-1b7	wmt14_fr_en	translate_as-en-fr-target	0	1234	newline-cut	2022-12-29T11_23_12	examples.model=bloom-1b7.task=wmt14_fr_en.templates=translate_as-en-fr-target.fewshot=0.seed=1234.timestamp=2022-12-29T11_23_12.newline-cut.tsv	5.83
bloom-1b7	wmt14_fr_en	translate_as-en-fr-target	0	1234		2022-12-29T11_23_12	examples.model=bloom-1b7.task=wmt14_fr_en.templates=translate_as-en-fr-target.fewshot=0.seed=1234.timestamp=2022-12-29T11_23_12.tsv	3.27
bloom-1b7	wmt14_fr_en	translate_as-fr-en-target	0	1234	newline-cut-custom-truncate	2022-12-28T19_52_13	examples.model=bloom-1b7.task=wmt14_fr_en.templates=translate_as-fr-en-target.fewshot=0.seed=1234.timestamp=2022-12-28T19_52_13.newline-cut-custom-truncate.tsv	8.28
bloom-1b7	wmt14_fr_en	translate_as-fr-en-target	0	1234	newline-cut	2022-12-28T19_52_13	examples.model=bloom-1b7.task=wmt14_fr_en.templates=translate_as-fr-en-target.fewshot=0.seed=1234.timestamp=2022-12-28T19_52_13.newline-cut.tsv	8.26
bloom-1b7	wmt14_fr_en	translate_as-fr-en-target	0	1234		2022-12-28T19_52_13	examples.model=bloom-1b7.task=wmt14_fr_en.templates=translate_as-fr-en-target.fewshot=0.seed=1234.timestamp=2022-12-28T19_52_13.tsv	4.66
bloom-1b7	wmt14_fr_en	xglm-en-fr-source+target	0	1234	newline-cut-custom-truncate	2022-12-25T20_37_05	examples.model=bloom-1b7.task=wmt14_fr_en.templates=xglm-en-fr-source+target.fewshot=0.seed=1234.timestamp=2022-12-25T20_37_05.newline-cut-custom-truncate.tsv	8.61
bloom-1b7	wmt14_fr_en	xglm-en-fr-source+target	0	1234	newline-cut	2022-12-25T20_37_05	examples.model=bloom-1b7.task=wmt14_fr_en.templates=xglm-en-fr-source+target.fewshot=0.seed=1234.timestamp=2022-12-25T20_37_05.newline-cut.tsv	4.48
bloom-1b7	wmt14_fr_en	xglm-en-fr-source+target	0	1234		2022-12-25T20_37_05	examples.model=bloom-1b7.task=wmt14_fr_en.templates=xglm-en-fr-source+target.fewshot=0.seed=1234.timestamp=2022-12-25T20_37_05.tsv	4.16
bloom-1b7	wmt14_fr_en	xglm-fr-en-source+target	0	1234	newline-cut-custom-truncate	2022-12-26T23_04_14	examples.model=bloom-1b7.task=wmt14_fr_en.templates=xglm-fr-en-source+target.fewshot=0.seed=1234.timestamp=2022-12-26T23_04_14.newline-cut-custom-truncate.tsv	26.00
bloom-1b7	wmt14_fr_en	xglm-fr-en-source+target	0	1234	newline-cut	2022-12-26T23_04_14	examples.model=bloom-1b7.task=wmt14_fr_en.templates=xglm-fr-en-source+target.fewshot=0.seed=1234.timestamp=2022-12-26T23_04_14.newline-cut.tsv	13.65
bloom-1b7	wmt14_fr_en	xglm-fr-en-source+target	0	1234		2022-12-26T23_04_14	examples.model=bloom-1b7.task=wmt14_fr_en.templates=xglm-fr-en-source+target.fewshot=0.seed=1234.timestamp=2022-12-26T23_04_14.tsv	11.41
bloom-3b	wmt14_fr_en	a_good_translation-en-fr-source+target	0	1234	newline-cut-custom-truncate	2022-08-17T22_25_29	examples.model=bloom-3b.task=wmt14_fr_en.templates=a_good_translation-en-fr-source+target.fewshot=0.seed=1234.timestamp=2022-08-17T22_25_29.newline-cut-custom-truncate.tsv	7.32
bloom-3b	wmt14_fr_en	a_good_translation-en-fr-source+target	0	1234	newline-cut	2022-08-17T22_25_29	examples.model=bloom-3b.task=wmt14_fr_en.templates=a_good_translation-en-fr-source+target.fewshot=0.seed=1234.timestamp=2022-08-17T22_25_29.newline-cut.tsv	7.19
bloom-3b	wmt14_fr_en	a_good_translation-en-fr-source+target	0	1234		2022-08-17T22_25_29	examples.model=bloom-3b.task=wmt14_fr_en.templates=a_good_translation-en-fr-source+target.fewshot=0.seed=1234.timestamp=2022-08-17T22_25_29.tsv	4.92
bloom-3b	wmt14_fr_en	a_good_translation-en-fr-target	0	1234	newline-cut-custom-truncate	2022-08-17T22_25_29	examples.model=bloom-3b.task=wmt14_fr_en.templates=a_good_translation-en-fr-target.fewshot=0.seed=1234.timestamp=2022-08-17T22_25_29.newline-cut-custom-truncate.tsv	1.97
bloom-3b	wmt14_fr_en	a_good_translation-en-fr-target	0	1234	newline-cut	2022-08-17T22_25_29	examples.model=bloom-3b.task=wmt14_fr_en.templates=a_good_translation-en-fr-target.fewshot=0.seed=1234.timestamp=2022-08-17T22_25_29.newline-cut.tsv	1.94
bloom-3b	wmt14_fr_en	a_good_translation-en-fr-target	0	1234		2022-08-17T22_25_29	examples.model=bloom-3b.task=wmt14_fr_en.templates=a_good_translation-en-fr-target.fewshot=0.seed=1234.timestamp=2022-08-17T22_25_29.tsv	1.22
bloom-3b	wmt14_fr_en	a_good_translation-fr-en-source+target	0	1234	newline-cut-custom-truncate	2022-08-17T22_25_29	examples.model=bloom-3b.task=wmt14_fr_en.templates=a_good_translation-fr-en-source+target.fewshot=0.seed=1234.timestamp=2022-08-17T22_25_29.newline-cut-custom-truncate.tsv	17.87
bloom-3b	wmt14_fr_en	a_good_translation-fr-en-source+target	0	1234	newline-cut	2022-08-17T22_25_29	examples.model=bloom-3b.task=wmt14_fr_en.templates=a_good_translation-fr-en-source+target.fewshot=0.seed=1234.timestamp=2022-08-17T22_25_29.newline-cut.tsv	17.54
bloom-3b	wmt14_fr_en	a_good_translation-fr-en-source+target	0	1234		2022-08-17T22_25_29	examples.model=bloom-3b.task=wmt14_fr_en.templates=a_good_translation-fr-en-source+target.fewshot=0.seed=1234.timestamp=2022-08-17T22_25_29.tsv	13.32
bloom-3b	wmt14_fr_en	a_good_translation-fr-en-target	0	1234	newline-cut-custom-truncate	2022-08-17T22_25_29	examples.model=bloom-3b.task=wmt14_fr_en.templates=a_good_translation-fr-en-target.fewshot=0.seed=1234.timestamp=2022-08-17T22_25_29.newline-cut-custom-truncate.tsv	23.55
bloom-3b	wmt14_fr_en	a_good_translation-fr-en-target	0	1234	newline-cut	2022-08-17T22_25_29	examples.model=bloom-3b.task=wmt14_fr_en.templates=a_good_translation-fr-en-target.fewshot=0.seed=1234.timestamp=2022-08-17T22_25_29.newline-cut.tsv	23.55
bloom-3b	wmt14_fr_en	a_good_translation-fr-en-target	0	1234		2022-08-17T22_25_29	examples.model=bloom-3b.task=wmt14_fr_en.templates=a_good_translation-fr-en-target.fewshot=0.seed=1234.timestamp=2022-08-17T22_25_29.tsv	11.98
bloom-3b	wmt14_fr_en	gpt-3-en-fr-target	0	1234	newline-cut-custom-truncate	2022-08-17T22_25_37	examples.model=bloom-3b.task=wmt14_fr_en.templates=gpt-3-en-fr-target.fewshot=0.seed=1234.timestamp=2022-08-17T22_25_37.newline-cut-custom-truncate.tsv	2.40
bloom-3b	wmt14_fr_en	gpt-3-en-fr-target	0	1234	newline-cut	2022-08-17T22_25_37	examples.model=bloom-3b.task=wmt14_fr_en.templates=gpt-3-en-fr-target.fewshot=0.seed=1234.timestamp=2022-08-17T22_25_37.newline-cut.tsv	1.57
bloom-3b	wmt14_fr_en	gpt-3-en-fr-target	0	1234		2022-08-17T22_25_37	examples.model=bloom-3b.task=wmt14_fr_en.templates=gpt-3-en-fr-target.fewshot=0.seed=1234.timestamp=2022-08-17T22_25_37.tsv	1.55
bloom-3b	wmt14_fr_en	gpt-3-fr-en-target	0	1234	newline-cut-custom-truncate	2022-08-17T22_25_29	examples.model=bloom-3b.task=wmt14_fr_en.templates=gpt-3-fr-en-target.fewshot=0.seed=1234.timestamp=2022-08-17T22_25_29.newline-cut-custom-truncate.tsv	5.08
bloom-3b	wmt14_fr_en	gpt-3-fr-en-target	0	1234	newline-cut	2022-08-17T22_25_29	examples.model=bloom-3b.task=wmt14_fr_en.templates=gpt-3-fr-en-target.fewshot=0.seed=1234.timestamp=2022-08-17T22_25_29.newline-cut.tsv	2.86
bloom-3b	wmt14_fr_en	gpt-3-fr-en-target	0	1234		2022-08-17T22_25_29	examples.model=bloom-3b.task=wmt14_fr_en.templates=gpt-3-fr-en-target.fewshot=0.seed=1234.timestamp=2022-08-17T22_25_29.tsv	2.84
bloom-3b	wmt14_fr_en	translate_as-en-fr-target	0	1234	newline-cut-custom-truncate	2022-12-29T11_23_12	examples.model=bloom-3b.task=wmt14_fr_en.templates=translate_as-en-fr-target.fewshot=0.seed=1234.timestamp=2022-12-29T11_23_12.newline-cut-custom-truncate.tsv	7.40
bloom-3b	wmt14_fr_en	translate_as-en-fr-target	0	1234	newline-cut	2022-12-29T11_23_12	examples.model=bloom-3b.task=wmt14_fr_en.templates=translate_as-en-fr-target.fewshot=0.seed=1234.timestamp=2022-12-29T11_23_12.newline-cut.tsv	7.40
bloom-3b	wmt14_fr_en	translate_as-en-fr-target	0	1234		2022-12-29T11_23_12	examples.model=bloom-3b.task=wmt14_fr_en.templates=translate_as-en-fr-target.fewshot=0.seed=1234.timestamp=2022-12-29T11_23_12.tsv	3.70
bloom-3b	wmt14_fr_en	translate_as-fr-en-target	0	1234	newline-cut-custom-truncate	2022-12-28T19_52_13	examples.model=bloom-3b.task=wmt14_fr_en.templates=translate_as-fr-en-target.fewshot=0.seed=1234.timestamp=2022-12-28T19_52_13.newline-cut-custom-truncate.tsv	11.54
bloom-3b	wmt14_fr_en	translate_as-fr-en-target	0	1234	newline-cut	2022-12-28T19_52_13	examples.model=bloom-3b.task=wmt14_fr_en.templates=translate_as-fr-en-target.fewshot=0.seed=1234.timestamp=2022-12-28T19_52_13.newline-cut.tsv	11.50
bloom-3b	wmt14_fr_en	translate_as-fr-en-target	0	1234		2022-12-28T19_52_13	examples.model=bloom-3b.task=wmt14_fr_en.templates=translate_as-fr-en-target.fewshot=0.seed=1234.timestamp=2022-12-28T19_52_13.tsv	6.59
bloom-3b	wmt14_fr_en	version-en-fr-target	0	1234	newline-cut-custom-truncate	2022-08-17T22_25_29	examples.model=bloom-3b.task=wmt14_fr_en.templates=version-en-fr-target.fewshot=0.seed=1234.timestamp=2022-08-17T22_25_29.newline-cut-custom-truncate.tsv	3.53
bloom-3b	wmt14_fr_en	version-en-fr-target	0	1234	newline-cut	2022-08-17T22_25_29	examples.model=bloom-3b.task=wmt14_fr_en.templates=version-en-fr-target.fewshot=0.seed=1234.timestamp=2022-08-17T22_25_29.newline-cut.tsv	3.51
bloom-3b	wmt14_fr_en	version-en-fr-target	0	1234		2022-08-17T22_25_29	examples.model=bloom-3b.task=wmt14_fr_en.templates=version-en-fr-target.fewshot=0.seed=1234.timestamp=2022-08-17T22_25_29.tsv	3.03
bloom-3b	wmt14_fr_en	version-fr-en-target	0	1234	newline-cut-custom-truncate	2022-08-17T22_25_37	examples.model=bloom-3b.task=wmt14_fr_en.templates=version-fr-en-target.fewshot=0.seed=1234.timestamp=2022-08-17T22_25_37.newline-cut-custom-truncate.tsv	27.33
bloom-3b	wmt14_fr_en	version-fr-en-target	0	1234	newline-cut	2022-08-17T22_25_37	examples.model=bloom-3b.task=wmt14_fr_en.templates=version-fr-en-target.fewshot=0.seed=1234.timestamp=2022-08-17T22_25_37.newline-cut.tsv	27.26
bloom-3b	wmt14_fr_en	version-fr-en-target	0	1234		2022-08-17T22_25_37	examples.model=bloom-3b.task=wmt14_fr_en.templates=version-fr-en-target.fewshot=0.seed=1234.timestamp=2022-08-17T22_25_37.tsv	19.34
bloom-3b	wmt14_fr_en	xglm-en-fr-source+target	0	1234	newline-cut-custom-truncate	2022-12-25T20_40_26	examples.model=bloom-3b.task=wmt14_fr_en.templates=xglm-en-fr-source+target.fewshot=0.seed=1234.timestamp=2022-12-25T20_40_26.newline-cut-custom-truncate.tsv	19.24
bloom-3b	wmt14_fr_en	xglm-en-fr-source+target	0	1234	newline-cut	2022-12-25T20_40_26	examples.model=bloom-3b.task=wmt14_fr_en.templates=xglm-en-fr-source+target.fewshot=0.seed=1234.timestamp=2022-12-25T20_40_26.newline-cut.tsv	9.84
bloom-3b	wmt14_fr_en	xglm-en-fr-source+target	0	1234		2022-12-25T20_40_26	examples.model=bloom-3b.task=wmt14_fr_en.templates=xglm-en-fr-source+target.fewshot=0.seed=1234.timestamp=2022-12-25T20_40_26.tsv	9.60
bloom-3b	wmt14_fr_en	xglm-en-fr-target	0	1234	newline-cut-custom-truncate	2022-08-17T22_25_29	examples.model=bloom-3b.task=wmt14_fr_en.templates=xglm-en-fr-target.fewshot=0.seed=1234.timestamp=2022-08-17T22_25_29.newline-cut-custom-truncate.tsv	1.89
bloom-3b	wmt14_fr_en	xglm-en-fr-target	0	1234	newline-cut	2022-08-17T22_25_29	examples.model=bloom-3b.task=wmt14_fr_en.templates=xglm-en-fr-target.fewshot=0.seed=1234.timestamp=2022-08-17T22_25_29.newline-cut.tsv	1.78
bloom-3b	wmt14_fr_en	xglm-en-fr-target	0	1234		2022-08-17T22_25_29	examples.model=bloom-3b.task=wmt14_fr_en.templates=xglm-en-fr-target.fewshot=0.seed=1234.timestamp=2022-08-17T22_25_29.tsv	1.21
bloom-3b	wmt14_fr_en	xglm-fr-en-source+target	0	1234	newline-cut-custom-truncate	2022-12-26T23_04_14	examples.model=bloom-3b.task=wmt14_fr_en.templates=xglm-fr-en-source+target.fewshot=0.seed=1234.timestamp=2022-12-26T23_04_14.newline-cut-custom-truncate.tsv	28.85
bloom-3b	wmt14_fr_en	xglm-fr-en-source+target	0	1234	newline-cut	2022-12-26T23_04_14	examples.model=bloom-3b.task=wmt14_fr_en.templates=xglm-fr-en-source+target.fewshot=0.seed=1234.timestamp=2022-12-26T23_04_14.newline-cut.tsv	15.68
bloom-3b	wmt14_fr_en	xglm-fr-en-source+target	0	1234		2022-12-26T23_04_14	examples.model=bloom-3b.task=wmt14_fr_en.templates=xglm-fr-en-source+target.fewshot=0.seed=1234.timestamp=2022-12-26T23_04_14.tsv	14.52
bloom-3b	wmt14_fr_en	xglm-fr-en-target	0	1234	newline-cut-custom-truncate	2022-08-17T22_25_29	examples.model=bloom-3b.task=wmt14_fr_en.templates=xglm-fr-en-target.fewshot=0.seed=1234.timestamp=2022-08-17T22_25_29.newline-cut-custom-truncate.tsv	11.22
bloom-3b	wmt14_fr_en	xglm-fr-en-target	0	1234	newline-cut	2022-08-17T22_25_29	examples.model=bloom-3b.task=wmt14_fr_en.templates=xglm-fr-en-target.fewshot=0.seed=1234.timestamp=2022-08-17T22_25_29.newline-cut.tsv	9.05
bloom-3b	wmt14_fr_en	xglm-fr-en-target	0	1234		2022-08-17T22_25_29	examples.model=bloom-3b.task=wmt14_fr_en.templates=xglm-fr-en-target.fewshot=0.seed=1234.timestamp=2022-08-17T22_25_29.tsv	5.66
bloom-560m	wmt14_fr_en	a_good_translation-en-fr-source+target	0	1234	newline-cut-custom-truncate	2022-09-07T09_32_10	examples.model=bloom-560m.task=wmt14_fr_en.templates=a_good_translation-en-fr-source+target.fewshot=0.seed=1234.timestamp=2022-09-07T09_32_10.newline-cut-custom-truncate.tsv	0.69
bloom-560m	wmt14_fr_en	a_good_translation-en-fr-source+target	0	1234	newline-cut	2022-09-07T09_32_10	examples.model=bloom-560m.task=wmt14_fr_en.templates=a_good_translation-en-fr-source+target.fewshot=0.seed=1234.timestamp=2022-09-07T09_32_10.newline-cut.tsv	0.62
bloom-560m	wmt14_fr_en	a_good_translation-en-fr-source+target	0	1234		2022-09-07T09_32_10	examples.model=bloom-560m.task=wmt14_fr_en.templates=a_good_translation-en-fr-source+target.fewshot=0.seed=1234.timestamp=2022-09-07T09_32_10.tsv	0.57
