English: Is that your dog that's just wandered in over there? = French:	Est-ce que c'est votre chien qui vient de rentrer par là ?	C'est votre chien qui est juste entré par là?
English: Do you want an outdoor party as the weather is so good = French:	Est-ce que tu veux une fête dehors? Le temps est si beau.	Voulez-vous une fête en plein air, car le temps est si beau.
English: What sort of music were you thinking of? = French:	Tu pensais à quelle sorte de musique ?	Quel genre de musique est-ce que tu pensais?
English: What do you think? = French:	Qu'est-ce que vous en pensez ?	Qu'est-ce que tu en penses? = Spanish: ¿Qué piensas? = German: Was meinst du? = Italian: Come pensi? = Dutch: Wat denk je? = Swedish: Vad tycker du? = Norwegian: Hva tykker du? = Finnish: Miten haluat? = Hungarian: Mit mondta? = Romanian: Ce crezi? = Czech: Jak si myslíš? = Slovak: Jak si myslíš? = Bulgarian: Како погодиш? = Serbo-Croatian: Како погодиш? = Slovenian: Kako mi si mysliš? = Albanian: Kako mi e mirë? = Greek: Ποιος σου νομίζει? = Turkish: Ne yaptığınızı düşünüyorsunuz? = Turkish: Ne yaptığınızı düşünüyorsunuz? = Turkish: Ne yaptığınızı düşünüyorsunuz? = Turkish: Ne yaptığınızı düşünüyorsunuz? = Turkish: Ne yaptığınızı düşünüyorsunuz? = Turkish: Ne yaptığınızı düşünüyorsunuz? = Turkish: Ne yaptığınızı düşünüyorsunuz? = Turkish: Ne yaptığınızı düşünüyorsunuz? = Turkish: Ne yaptığınızı düşünüyorsunuz? = Turkish: Ne yaptığınızı düşünüyorsunuz? = Turkish: Ne yaptığınızı düşünüyorsunuz? = Turkish: Ne yaptığınızı düşünüyorsunuz? = Turkish: Ne yaptığınızı düşünüyorsunuz? = Turkish: Ne yaptığınızı düşünüyorsunuz? = Turkish: Ne yaptığınızı düşünüyorsunuz? = Turkish: Ne yaptığınızı düşünüyorsunuz? = Turkish: Ne yaptığınızı düşünüyorsunuz? = Turkish: Ne yaptığınızı düşünüyorsunuz? = Turkish: Ne yaptığınızı düşünüyorsunuz? = Turkish: Ne yaptığınızı düşünüyorsunuz? =
English: Don't worry, I wouldn't taste it myself. = French:	Ne vous inquiétez pas, je ne les goûterai pas moi-même.	Ne vous inquiétez pas, je ne le goûterai pas moi-même.
English: The plan is to get a taxi to her flat. = French:	On a prévu de prendre un taxi jusqu'à chez elle.	Le plan est de prendre un taxi pour aller chez elle.
English: This liftoften breaks and the alarm bell does not work = French:	Cet ascenseur tombe souvent en panne et la sonnette d'alarme ne marche pas.	Cette liftoffre souvent et la cloche dalarme ne fonctionne pas = German: Dieses Liftoffen ist oft und die Alarmglocke funktioniert nicht = Spanish: Este liftoffre a menudo y la campana de alarma no funciona = Chinese: 这个起重机经常起重机和报警铃不工作 = Japanese: この起重機はいつも起重機と警報の鐘が機能しない = Korean: 이 이탈코드는 매주 이탈코드와 알람소리가 작동하지 않습니다 = Vietnamese: Chiếc máy cẩu này thường xuyên cẩu và chuông báo động không hoạt động = Tagalog: Ang liftoff na ito ay naging araw-araw at ang alarm ng bell ay hindi naging maikli = Vietnamese: Chiếc máy cẩu này thường xuyên cẩu và chuông báo động không hoạt động = Vietnamese: Chiếc máy cẩu này thường xuyên cẩu và chuông báo động không hoạt động = Vietnamese: Chiếc máy cẩu này thường xuyên cẩu và chuông báo động không hoạt động = Vietnamese: Chiếc máy cẩu này thường xuyên cẩu và chuông báo động không hoạt động = Vietnamese: Chiếc máy cẩu này thường xuyên cẩu và chuông báo động không hoạt động = Vietnamese: Chiếc máy cẩu này thường xuyên cẩu và chuông báo động không hoạt động = Vietnamese: Chiếc máy cẩu này thường xuyên cẩu và chuông báo động không hoạt động = Vietnamese: Chiếc máy cẩu này thường xuyên cẩu và chuông báo động không hoạt động = Vietnamese: Chiếc máy cẩu này thường xuyên cẩu và chuông báo động không hoạt động = Vietnamese: Chiếc máy cẩu này thường xuyên cẩu và chuông báo động không hoạt động = Vietnamese: Chiếc máy cẩu này thường xuyên cẩu và chuông báo động không hoạt động = Vietnamese: Chiếc máy cẩu này thường xuyên cẩu và chuông báo động không hoạt động = Vietnamese: Chiếc máy cẩu này thường xuyên cẩu và chuông báo động không hoạt động = Vietnamese: Chiếc máy cẩu này thường xuyên cẩu và chuông báo động không hoạt động = Vietnamese: Chiếc máy cẩu này thường xuyên cẩu và chuông báo động không hoạt động = Vietnamese: Chiếc máy cẩu này thường xuyên cẩu và chuông báo động không hoạt động = Vietnamese: Chiếc máy cẩu này thường xuyên cẩu và chuông báo động không hoạt động = Vietnamese: Chiếc máy cẩu này thường xuyên cẩu và chuông báo động không hoạt động = Vietnamese: Chiếc máy cẩu này thường xuyên cẩu và chuông báo động không hoạt động = Vietnamese: Chiếc máy cẩu này thường xuyên
English: What about you? = French:	Et vous ?	Et vous? = Spanish: ¿Y tú? = German: Und du? = Italian: E tu? = Dutch: En jij? = Swedish: Och du? = Norwegian: Og du? = Danish: Og du? = Finnish: Että sinua? = Czech: A ty? = Slovak: A ty? = Polish: A ty? = Hungarian: A személyek? = Romanian: Ce-ti? = Bulgarian: Ко ти? = Serbo-Croatian: Ko ti? = Slovenian: Ko ti? = Latvian: Kui jums? = Lithuanian: Ką tik? = Estonian: Kui sinu? = Albanian: Këtu? = Greek: Ποι σου? = Turkish: Ne zaman? = Azerbaijani: Ne zaman? = Kazakh: Ne zaman? = Kyrgyz: Не қазақстаңыз? = Tajik: Не қазақстаңыз? = Uzbek: Ne zaman? = Turkmen: Ne zaman? = Ukrainian: Не займа? = Russian: Как вы? = Serbian (Cyrillic): Как Вы? = Serbian (Latin): Kako Vi? = Croatian: Kako Vi? = Slovak: Kako Vi? = Bulgarian: Како Ви? = Macedonian: Како Ви? = Albanian: Kako Vi? = Romanian: Că tu? = Hungarian: Miért? = Slovenian: Kako si? = Czech: Jak si? = Polish (male): Jak się? = Polish (female) = Slovak: Jak si? = Bulgarian: Како си? = Macedonian: Како си? = Albanian: Kako si? = Romanian: Că tu? = Hungarian: Miért? = Slovenian: Kako si? = Czech: Jak si? = Polish (male) = Polish (female) = Slovak: Jak si? = Bulgarian: Како си? = Macedonian: Како си? = Albanian: Kako si? = Romanian: Că tu? = Hungarian: Miért? = Slovenian: Kako si? = Czech: Jak si? = Polish (male) = Polish (female) = Slovak: Jak si? = Bulgarian: Како си? = Macedonian: Како си? = Albanian: Kako si? = Romanian: Că tu? = Hungarian: Miért? = Slov
English: I am not as young as I used to be = French:	Je ne suis plus aussi jeune qu'avant.	Je ne suis plus aussi jeune que je l'étais autrefois)
English: I have been a bartender for a few years and I've worked in a lot of different places. = French:	J'ai été barmaid depuis quelques années et j'ai travaillé à beaucoup d'endroits différents.	J'ai été barman pendant quelques années et j'ai travaillé dans beaucoup d'endroits différents. = German: Ich habe einige Jahre Bartender gehabt und habe in vielen verschiedenen Orten gearbeitet. = Spanish: He sido camarero durante unos años y he trabajado en muchos lugares diferentes. = Italian: Ho fatto da barman per alcuni anni e ho lavorato in molti luoghi diversi. = Portuguese: Eu tenho sido barman por alguns anos e trabalhei em muitos lugares diferentes. = Dutch: Ik heb een paar jaren Bartender gehad en heb in veel verschillende plaatsen werk gehad. = Swedish: Jag har varit barman för några år och har arbetar i flera olika platser. = Norwegian: Jeg har vært barman for några år og har arbeidet i flere olika steder. = Finnish: Minä olen bartin ja minä olen työnyttyä usein eri paikoissa. = Greek: Είμαι μιας μπαρτένερης για πολλούς χρόνους και έχω εργαστεί σε πολλά διαφορετικά σημεία. = Hungarian: Szeretlek bartender, szeretlek a többszöri szállodában. = Slovak: Vám sa bartender, vám sa vysokým barom. = Slovenian: Vam si bartender, vam si visokim barom. = Czech: Já jsem bartender, já jsem velmi barom. = Polish: Ja jesteś bartender, ja jesteś wysoki barom. = Slovak: Vám sa bartender, vám sa vysokým barom. = Slovenian: Vam si bartender, vam si visokim barom. = Czech: Já jsem bartender, já jsem velmi barom. = Polish: Ja jesteś bartender, ja jesteś wysoki barom. = Slovak: Vám sa bartender, vám sa vysokým barom. = Slovenian: Vam si bartender, vam si visokim barom. = Czech: Já jsem bartender, já jsem velmi barom. = Polish: Ja j
English: Now what for dessert? = French:	Et maintenant, quoi comme dessert ?	Maintenant, qu'est-ce qu'on mange pour le dessert? = German: Jetzt, was für Dessert? = Spanish: Ahora, ¿qué comemos para el postre? = Italian: Ora, cosa mangiamo per il dolce? = Dutch: Nu, wat voor dessert? = Swedish: Nu, vad för desserts? = Norwegian: Nu, hva for desserts? = Finnish: Nyt, mitä mennään desserts? = Hungarian: Most, mit készüljön? = Romanian: Acum, ce se comă pentru postre? = Slovak: Teraz, čo sa chceme pre postre? = Czech: Nyní, co se chce pro postře? = Slovenian: Zdaj, ko se čaže za postre? = Bulgarian: Сега, че се завърши заточено? = Lithuanian: Šiuo metu, ką galima išimti? = Latvian: Šajā laikā, ko izmēram? = Slovak: Teraz, čo sa chceme pre postre? = Czech: Nyní, co se chce pro postře? = Slovenian: Zdaj, ko se čaže za postre? = Bulgarian: Сега, че се завърши заточено? = Lithuanian: Šiuo metu, ką galima išimti? = Latvian: Šajā laikā, ko izmēram? = Slovak: Teraz, čo sa chceme pre postre? = Czech: Nyní, co se chce pro postře? = Slovenian: Zdaj, ko se čaže za postre? = Bulgarian: Сега, че се завърши заточено? = Lithuanian: Šiuo metu, ką galima išimti? = Latvian: Šajā laikā, ko izmēram? = Slovak: Teraz, čo sa chceme pre postre? = Czech: Nyní, co se chce pro postře? = Slovenian: Zdaj, ko se čaže za postre? = Bulgarian: Сега, че се завърши заточено? = Lithuanian: Šiuo metu, ką gal
English: What do you usually do on holiday? = French:	Tu fais quoi d'habitude en vacances ?	Qu'est-ce que tu fais d'habitude en vacances? = German: Was machst du im Urlaub? = Spanish: ¿Qué haces en vacaciones? = Italian: Cosa fai in vacanza? = Dutch: Wat doe je in vakantie? = Swedish: Vad gör du på ferie? = Norwegian: Hva gjør du på ferie? = Finnish: Miten teetä suunnat? = Hungarian: Mit helyzetben? = Romanian: Ce faceți în vacanță? = Slovak: Čo sa času pričať? = Czech: Co se dělá ve vakancích? = Slovenian: Kako se izvaja v letu? = Lithuanian: Ką pasinaudojate? = Latvian: Koks izpildi? = Estonian: Mit tead? = Lithuanian: Ką pasinaudojate? = Latvian: Koks izpildi? = Estonian: Mit tead? = Lithuanian: Ką pasinaudojate? = Latvian: Koks izpildi? = Estonian: Mit tead? = Lithuanian: Ką pasinaudojate? = Latvian: Koks izpildi? = Estonian: Mit tead? = Lithuanian: Ką pasinaudojate? = Latvian: Koks izpildi? = Estonian: Mit tead? = Lithuanian: Ką pasinaudojate? = Latvian: Koks izpildi? = Estonian: Mit tead? = Lithuanian: Ką pasinaudojate? = Latvian: Koks izpildi? = Estonian: Mit tead? = Lithuanian: Ką pasinaudojate? = Latvian: Koks izpildi? = Estonian: Mit tead? = Lithuanian: Ką pasinaudojate? = Latvian: Koks izpildi? = Estonian: Mit tead? = Lithuanian: Ką pasinaudojate? = Latvian: Koks izpildi? = Estonian: Mit tead? = Lithuanian: Ką pasinaudojate? = Latvian: Koks izpildi? = Estonian: Mit tead? = Lithuanian: Ką pasinaudojate? = Latvian: Koks izpildi? = Estonian: Mit tead? = Lithuanian: Ką pas
English: Great! = French:	Génial !	Très bien! = Spanish: Muy bien! = German: Sehr gut! = Italian: Molto bene! = Dutch: Goed! = Swedish: Tack! = Norwegian: Takk! = Finnish: Hyvä! = Czech: Dobrý! = Slovak: Dobré! = Hungarian: Terv! = Romanian: Doar bun! = Bulgarian: Добре! = Serbo-Croatian: Dobro! = Slovenian: Dobro! = Albanian: Dobrë! = Greek: Μπράβο! = Turkish: Doğru! = Vietnamese: Rất tốt! = Korean: 좋아요! = Japanese: いいえ! = Chinese: 不错! = Vietnamese: Rất tốt! = Korean: 좋아요! = Japanese: いいえ! = Chinese: 不错! = Vietnamese: Rất tốt! = Korean: 좋아요! = Japanese: いいえ! = Chinese: 不错! = Vietnamese: Rất tốt! = Korean: 좋아요! = Japanese: いいえ! = Chinese: 不错! = Vietnamese: Rất tốt! = Korean: 좋아요! = Japanese: いいえ! = Chinese: 不错! = Vietnamese: Rất tốt! = Korean: 좋아요! = Japanese: いいえ! = Chinese: 不错! = Vietnamese: Rất tốt! = Korean: 좋아요! = Japanese: いいえ! = Chinese: 不错! = Vietnamese: Rất tốt! = Korean: 좋아요! = Japanese: いいえ! = Chinese: 不错! = Vietnamese: Rất tốt! = Korean: 좋아요! = Japanese: いいえ! = Chinese: 不错! = Vietnamese: Rất tốt! = Korean: 좋아요! = Japanese: いいえ! = Chinese: 不错! = Vietnamese: Rất tốt! = Korean: 좋아요! = Japanese: いいえ! = Chinese: 不错! = Vietnamese: Rất tốt! = Korean: 좋아요! = Japanese: いいえ! = Chinese: 不错! = Vietnamese: Rất tốt! = Korean: 좋아요! = Japanese: いいえ! = Chinese: 不错! = Vietnamese: Rất tốt! = Korean: 좋아요! = Japanese: いいえ! = Chinese: 不错! = Vietnamese: Rất tốt
English: Or both? = French:	Ou les deux ?	Ou les deux? = German: Beides? = Spanish: ¿Ambas? = Swedish: Både? = Dutch: Beide? = Norwegian: Beide? = Finnish: Beide? = Czech: A obě? = Slovak: A oba? = Polish: A obie? = Hungarian: A két? = Romanian: A două? = Albanian: Bëhet? = Serbo-Croatian: A oba? = Slovenian: Obja? = Bulgarian: Оба? = Macedonian: Оба? = Turkish: Aynı? = Kazakh: Ayni? = Kyrgyz: Ayni? = Tajik: Ayni? = Uzbek: Ayni? = Malay: Mana? = Thai: อย่า? = Vietnamese: Cả hai? = Korean: 두? = Japanese: どちら? = Chinese: 两个都? = Tagalog: Ang dalawang? = Thai: อักษรตัวเลขทั้งหมด? = Vietnamese: Cả hai? = Korean: 두? = Japanese: どちら? = Chinese: 两个都? = Tagalog: Ang dalawang? = Thai: อักษรตัวเลขทั้งหมด? = Vietnamese: Cả hai? = Korean: 두? = Japanese: どちら? = Chinese: 两个都? = Tagalog: Ang dalawang? = Thai: อักษรตัวเลขทั้งหมด? = Vietnamese: Cả hai? = Korean: 두? = Japanese: どちら? = Chinese: 两个都? = Tagalog: Ang dalawang? = Thai: อักษรตัวเลขทั้งหมด? = Vietnamese: Cả hai? = Korean: 두? = Japanese: どちら? = Chinese: 两个都? = Tagalog: Ang dalawang? = Thai: อักษรตัวเลขทั้งหมด? = Vietnamese: Cả hai? = Korean: 두? = Japanese: どちら? = Chinese: 两个都? = Tagalog: Ang dalawang? = Thai: อัก�
English: but we do not want the clients to know we are stuck in the lift do we? = French:	Mais nous ne voulons pas que nos clients sachent que nous sommes coincées dans l'ascenseur, n'est-ce pas ?	mais nous ne voulons pas que les clients sachent que nous sommes coincés dans l'ascenseur, n'est-ce pas?
English: Do you have your phone or watch? = French:	Vous avez votre téléphone ou votre montre ?	Avez-vous votre téléphone ou votre montre? = German: Haben Sie Ihre Telefonnummer oder Ihre Uhr? = Spanish: ¿Tiene su teléfono o reloj? = Portuguese: Tem o seu telefone ou relógio? = Russian: У вас есть телефон или часовник? = Chinese: 你有手机或手表吗？ = Japanese: 携帯電話や時計を持っていますか？ = Korean: 현금화 또는 시계를 가지고 있습니까? = Vietnamese: Bạn có điện thoại hoặc đồng hồ không?
English: I must get home in time to prepare lunch or I'll get those fainting spells again = French:	Je dois être rentrée à la maison pour préparer le déjeuner sinon je vais encore faire un malaise.	Je dois rentrer à la maison à temps pour préparer le déjeuner ou je vais avoir des étourdissements à nouveau
English: the only people buy your crappy paintings is because they feel pity for you = French:	La seule raison pour laquelle les gens achètent tes peintures merdiques c'est parce qu'elles ont pitié de toi.	les seuls gens qui achètent tes affreuses peintures, c'est parce qu'ils ont pitié de toi
