French: je m'ennuie = English: I'm bored.	Est-ce que c'est votre chien qui vient de rentrer par là ?	C'est votre chien qui est juste entré par là?
English: No, it's not my first time flying, but I still get extremely anxious. = French: Non, ce n'est pas la première fois que je prends l'avion, mais je suis quand même très stressée.	Mais nous ne voulons pas que nos clients sachent que nous sommes coincées dans l'ascenseur, n'est-ce pas ?	mais nous ne voulons pas que les clients sachent que nous sommes coincés dans l'ascenseur, n'est-ce pas?
English: I know I'm really amazing. = French: Je sais que je suis extraordinaire.	Vous avez votre téléphone ou votre montre ?	Avez-vous votre téléphone ou votre montre?
French: il est parti au bout d'un quart d'heure d'attente = English: He left after waiting for a quarter of an hour.	Je dois être rentrée à la maison pour préparer le déjeuner sinon je vais encore faire un malaise.	Je dois rentrer à temps pour préparer le déjeuner ou je vais encore avoir des malaises.
English: Not bad for someone eighty five years old. = French: Pas mal pour quelqu'un qui a quatre-vingt-cinq ans.	La seule raison pour laquelle les gens achètent tes peintures merdiques c'est parce qu'elles ont pitié de toi.	les seuls gens qui achètent tes affreuses peintures, c'est parce qu'ils ont pitié de toi.
English: Bring me a team of people and I'll play. = French: Amène-moi une équipe de gens et je jouerai.	Je blague... mais ils autorisent qu'on vienne avec ses propres animations.	Je plaisante... mais ils vous permettent d'amener votre propre divertissement si vous le voulez.
English: Not bad for someone eighty five years old. = French: Pas mal pour quelqu'un qui a quatre-vingt-cinq ans.	Si on t'appelle Einstein, c'est... Non mais en fait on ne t'appelle pas Einstein du tout.	Ils ne vous appellent pas Einstein pour rien
English: I am starting to sweat as I remember = French: Quand je me rappelle de ça je commence à transpirer.	Je pense que cette conversation valait largement son prix.	Je pense que cette consultation en valait la peine.
English: Was he not traumatised? = French: Ça ne l'a pas traumatisé ?	Ce serait drôle pourtant et cela rendrait les autres étudiants plus attentifs.	Ça serait drôle, et ça attirerait l'attention des autres élèves.
English: I don't think a mirror will help. = French: Je ne pense pas qu'un miroir va m'aider.	Faites comme chez vous.	S'il vous plaît, faites comme chez vous.
English: I must take a picture of it. = French: Il faut que je le prenne en photo.	Je n'ai aucun sens de l'orientation.	Je suis perdu dès qu'il s'agit de directions.
English: This is very inconvenient! = French: Ce n'est vraiment pas pratique !	Pourquoi faisiez-vous de la crème ?	Pourquoi fais-tu de la crème anglaise ?
French: Et la musique ? = English: And how about music?	Surtout à notre âge !	Surtout à notre âge!
English: No idea whatsoever. = French: Pas la moindre idée.	Au revoir.	Au revoir.
French: Je n'en ai jamais fait = English: I've never done it before.	Vraiment !	Vraiment!
English: There are signs up saying not to give them bread. = French: Il y a des panneaux qui demandant de ne pas leur donner de pain.	On ne peut jamais être tranquille, ici !	Il est impossible de trouver la paix ici!
French: On sera réduits en miettes, à plusieurs kilomètres sous l'eau. = English: We'll be ripped to shreds, several kilometres underwater.	Au chocolat ?	Du chocolat?
English: I don't know why. = French: Je ne sais pas pourquoi.	Vite Tristan, accrochez-vous à mon bras, je vais préparer mon parachute.	Tristan, prends vite mon bras, je vais m'assembler mon parachute.
French: C'est bien ma petite. = English: That's my girl!	Qu'est-ce que tu proposes... à part rester au bord de la piscine, bien sûr !	Que suggérez-vous...autre que de rester près de la piscine bien sûr!
French: Tu crois que ça mangerait des petits morceaux de feuille de tabac? = English: Do you think they would eat little pieces of tobacco leaves?	Très bien, poursuivez.	Oui... continue.
French: des insultes = English: Insults.	Je peux vous donner des anti-dépresseurs.	Je peux vous donner des anti-dépresseurs.
French: Vous n'avez pas de saucisson ? = English: You don't have any sausage?	Ne t'inquiète pas, je vais le faire rapidement.	Et ne vous inquiétez pas, je vais le faire rapidement!
English: just like your mother did when she bought your first "portrait"... = French: Exactement comme l'a fait ta mère quand elle t'a acheté ton premier « portrait »...	Je construis des châteaux de sable, je mange des glaces et je fais des balades, comme je te l'ai dit.	Je construis des châteaux de sable, je mange des bonbons et je fais des promenades, comme je l'ai dit.
French: Elle nous disent d'aller ici, de faire ça, pfff. = English: They tell us to go there, do that, huh.	Mais la réalité est un peu moins romantique. Elle est faite de surdité, de trous de mémoire et de douleurs.	Mais la réalité est un peu moins romantique - c'est surtout la surdité, l'oubli, et les douleurs et les maux. ###
French: c'est vraiment dommage = English: It's a real shame.	Quel soulagement !	Quel soulagement!
English: Well, it's because he is different to everybody else. = French: Eh bien, c'est parce qu'il est différent des autres.	OK.	D'accord.
English: Rubbish... I got soaked on the way to work, and then there was no way to dry my stuff, so I've been walking around in damp clothes all day. = French: Pourrie... Je me suis fait tremper sur le chemin du boulot et ensuite il n'y avais aucun moyen de faire sécher mes affaires, donc j'ai passé la journée dans des vêtements humides.	Mais il y a encore de la place pour d'autres baies si tu veux.	Mais il y a encore de la place pour quelques baies si vous voulez.
English: our hungry, hungry customers! = French: Nos clients totalement affamés !	Puis-je également jeter un œil au menu, car je devrais peut-être manger quelque chose.	Puis-je aussi regarder le menu des plats, car peut-être que je devrais manger quelque chose?
French: Oui, je prends très souvent l'avion. = English: Yes, I fly very often.	Elle avait de longs cheveux blonds remontés en chignon.	Elle avait les cheveux longs et blonds, attachés en chignon.
English: I've got terrible flatulence my friend. = French: J'ai des flatulences terribles, mon ami.	Il faudra que tu ne dises rien au personnel à propos du vin et des cigares.	Vous devrez garder le vin et les cigares secrets du personnel ici.
French: Bon anniversaire !!!!! = English: Happy birthday!!!!!	J'adore le chocolat !	Je suis un grand fan de chocolat
English: I'm impressed. = French: Je suis impressionnée.	Je suis désolée, je dois y aller.	Désolé, je dois y aller.
English: Well I think your principles are flawed = French: Eh bien je pense que vos principes ne tiennent pas debout.	Qu'est-ce que tu as prévu ?	Que comptez-vous faire?
English: Actually, there is a number on the bottom of the grille. = French: En fait il y a un numéro en bas de la grille.	Je ne travaille ici que pour gagner assez d'argent pour la nourriture et le loyer, ensuite je disparais dans la forêt pour réfléchir sur l'existence.	Je travaille ici seulement pour gagner assez d'argent pour payer le loyer et la nourriture, puis je disparais dans la forêt pour réfléchir à l'existence.
French: Comment comptes-tu t'en sortir ? = English: How are you planning on getting out of here?	Ça fait peur.	C'est effrayant.
English: I fancy a gin party = French: J'aimerais bien une soirée gin.	Encore que si vous préparez une potion magique, je dois dire que je serais très intéressée à en goûter.	Bien que si vous faites une potion magique, je dois dire que je serais très intéressé à essayer.
English: well you better hurry then because we have prep to do = French: Bien, tu devrais te dépêcher alors car nous avons des choses à préparer.	On pourrait tout simplement appeler un taxi.	On pourrait juste téléphoner pour un taxi?
English: if you like a lot of bitter beer, may i suggest going for the full stein of Löwenbrau. = French: Si vous aimez l'amertume, puis-je vous suggérer de prendre une pleine chope de Löwenbrau.	Pas de problème, bonne fin de soirée !	Pas de problème, profitez du reste de votre soirée!
French: Est-ce que vous mangez assez? = English: Do you eat enough?	Je vous apporte votre gin tonic.	Je vais vous chercher votre gin tonic.
French: Et si jamais tu as des idées en plus, n'hésite pas à me rappeler. = English: And if you have any more ideas, please call me.	Aucune explication ?	Pas d'explications du tout?
English: yeah! = French: Ouais !	Je ne peux pas juste rester allongée au bord de la piscine.	Je ne peux pas juste rester à la piscine.
French: la réunion a été annulée = English: the meeting was cancelled.	Mais pourquoi un instrument de musique ?	Mais pourquoi un instrument de musique?
English: Do you think I am right about that? = French: Pensez-vous que j'ai raison à ce sujet ?	J'en bois souvent parce que sinon je boirais du gin canadien et mon pauvre foie ne s'en remettrait pas.	Je bois souvent comme ça sinon je serais sur le gin canadien et mon foie souffrirait.
French: Comment vas-tu ce soir? = English: How are you this evening?	Je peux faire les tâches ménagères dans la maison en alternance avec l'écriture.	Je peux faire les petits travaux dans la maison entre deux séances d'écriture.
French: Une panne d'ascenseur, ce n'est jamais le moment ! = English: It's never the right time for a lift breakdown!	Par quoi commençons-nous ?	Où est-ce qu'on commence?
English: Do you know them? = French: Vous les connaissez ?	Quand est-ce que j'ai triché ?	Quand est-ce que j'ai triché ?
English: We absolutely need to go shopping! = French: Il faut absolument qu'on aille faire du shopping !	Tu as quelque chose sur toi ?	As-tu quelque chose sur toi?
French: Ce fut un plaisir ! = English: It was a pleasure to meet you!	En general je fais mes devoirs à la maison et généralement je viens en cours.	Je fais généralement la plupart de mes devoirs et je suis généralement présent.
French: Il faudra que je demande à Archibald de gérer ça en urgence. = English: I need to ask Archibald to handle it urgently.	Je me suis inquiété une seconde.	je me suis inquiété pendant une seconde.
English: I could try my phone - but there is no reception. = French: Je pourrais essayer mon téléphone — mais il n'y a pas de réseau.	Et avec des glaçons ?	Et vous voulez de la glace dedans?
English: Do you have any suggestions as to how I talk to him about this? = French: Est-ce que vous avez des idées sur la façon de lui en parler ?	Bonjour, oui je me sens très anxieux.	Bonjour, oui, je me sens très anxieux.
English: Well, go and talk to someone then or join in the the water exercise = French: Bon ben, va parler à quelqu'un ou alors participer au sport aquatique.	Je me suis déjà ouvert le genou sur un bout de bois et je me suis aussi égratigné la tête.	J'ai déjà eu un coup de machette sur le genou et j'ai aussi eu un coup de machette sur la tête.
French: Que dois-je faire? = English: What should I do?	En tout cas, vous, personnellement, vous n'avez clairement pas de problème avec votre cerveau, comme vous dites.	En attendant, vous personnellement, vous n'avez pas de problème avec votre cerveau, comme vous le dites.
English: I might have to take my custom elsewhere is you're not happy to serve me. = French: Je peux aussi bien aller manger ailleurs si vous ça ne vous plaît pas de me servir.	C'est bien.	C'est bien.
English: My children. = French: Mes enfants.	Je ne peux pas me permettre de changer de travail en ce moment ou d'être au chômage...	Je ne peux pas me permettre de changer de travail pour le moment ou d'être au chômage.
English: Shall I leave you get inviting people and I can sort out some decorations and music = French: Je te laisse inviter les gens et je m'occupe ds décorations et de la musique ?	Je ne suis pas sûr qu'il y avait qui que ce soit.	Je ne suis pas sûr que quelqu'un était là
French: on va faire une pétanque ? = English: Shall we go play bowls?	Il souffre peut-être lui-même, mais vous devez signaler l'intimidation.	Il peut être en train de souffrir lui-même, mais il faut le dénoncer quand il te harcèle.
French: Ça vous dirait, un whisky? = English: Do you fancy a whisky?	Typo: Si vous nous faisiez confiance à tous pour faire notre travail nous serions tellement plus efficaces.	si vous nous faisiez confiance pour faire notre travail, nous serions tellement plus efficaces
English: But perhaps some chips would be good. = French: Mais des frites ce serait peut-être bien.	Mais si vous faisiez en sorte qu'on ait un bon contrat de maintenance avec les ingénieurs ascensoristes, nous ne serions pas dans cette situation.	Mais si vous vous concentriez sur l'obtention d'un bon contrat d'entretien avec les ingénieurs ascenseurs nous ne serions pas dans cette situation.
English: How long is the oral presentation? = French: Combien de temps dure la présentation orale ?	Non, je suis peut-être seulement paranoïaque.	Non, peut-être que je suis juste paranoïaque.
English: Although I warn you, I'm not a very good singer. = French: Mais je vous préviens, je ne suis pas une bonne chanteuse.	Qu'est-ce que vous avez prévu de faire pendant vos vacances ?	Que comptez-vous faire pendant vos vacances?
French: Je vous propose donc qu'on se revoit une fois par semaine pendant 6 mois. = English: I therefore suggest that we see each other once a week for 6 months.	Je pense que c'est à moi de démissionner.	Je pense que c'est moi qui devrais arrêter!
English: Haha, you crack me up! = French: Héhé, tu me fais rire !	C'est une bonne idée.	C'est une bonne idée
English: What sort of good time did you have in mind? = French: Qu'est-ce que voulez dire par « bon moment » ?	Je vais oublier les baies tant que je n'ai pas vraiment faim.	Je vais laisser les baies jusqu'à ce que je sois vraiment affamé.
English: Oh I do have some non alcoholic gin too for friends that are driving or who do not drink = French: Oh j'ai aussi des gins sans alcool pour les amis qui conduisent ou ne boivent pas.	Je ne resterai en silence que 20 minutes.	Je vais rester tranquille pendant 20 minutes.
English: Let's go for a walk and climb that hill over there. = French: Allons faire une promenade et montons en haut de cette colline là-bas.	Hé hé, non !	Ha ha non!
French: Je ne sais pas si le diner sera aussi beau que celui d'hier à Windsor mais on va essayer! = English: I don't know if the dinner will be as beautiful as the one at Windsor yesterday but we'll give it a go!	Ici il n'y en a pas, et la seule musique que je fasse est d'aller à l'activité chant hebdomadaire.	Nous n'avons pas de chorale ici et la seule musique que je fais c'est de chanter avec la chorale hebdomadaire
English: But you always want to stay quietly by the pool whenever we're on holiday. = French: Mais tu veux toujours rester paisiblement au bord de la piscine dès qu'on est en vacances.	Absolument !	Bien sûr!
English: I'm hungry too. = French: Et puis j'ai faim.	Et ne vous inquiétez pas pour vos vêtements.	Et ne t'inquiète pas pour les vêtements.
French: Euh .... Ça dépend un peu de vous.... = English: Erm... That sort of depends on you...	Le reste des légumes est prêt à servir.	Le reste des légumes est prêt à être servi.
French: Au revoir Monsieur. = English: Goodbye, Sir.	Est-ce qu'on devrait se faire plaisir avec un bon dîner pour se consoler après une mauvaise journée comme ça ?	Nous allons nous faire un bon dîner pour nous remonter le moral après une si mauvaise journée?
French: Je n'en ai jamais fait = English: I've never done it before.	Tchin !	À la vôtre.
English: How do you think we can resolve this? = French: Comment pensez-vous que nous puissions résoudre ce problème ?	Je ne rigole pas.	Je ne plaisante pas.
English: Unless we ask them to bring some with them. = French: Sauf si on leur demande d'en apporter.	La prochaine fois, apportez des photos et, ah, si vous pouvez en apporter, des raisins, une bouteille de chocolats au lait et le journal du dimanche.	La prochaine fois, apportez les photos, oh, et si vous pouvez, des grappes de raisin, une boîte de chocolats au lait et les journaux du dimanche.
English: You can always change your mind! = French: Vous pourrez toujours changer d'avis !	Je suis prête pour danser en mode disco !	Je suis prêt à danser le disco !
French: Et puis franchement, vous pensez qu'ils vont nous ouvrir les portes de l'avion pour nous laisser sauter sans nous voler votre parachute? = English: And to be honest, do you really think they're going to open the door to let us jump out without stealing our parachute?	J'espère que non, sinon je ne sais pas ce que je ferai !	J'espère que non, sinon je ne sais pas ce que je vais faire!
English: I'm trying to have a relaxing time here and I'd prefer not to be disturbed. = French: J'essaie de me détendre ici et je préférerais ne pas être dérangé.	Je vais très bien, merci.	Je vais bien, merci.
English: Well, you do work us hard and everything... = French: Bon, c'est vrai que vous nous faites beaucoup travailler...	Je vais devoir faire quelques recherches.	Je vais devoir faire des recherches...
French: Et comme il a un étang et des canards, j'y viens souvent. = English: And as there's a pond and ducks, I come here often.	Parfois ils ont de la chance et attrapent à la place un petit chien ou un chat.	Parfois ils sont chanceux et ils obtiennent un petit chien ou un chat à la place.
English: You re meant to say I dont look old enough to be a grandma! = French: Vous devriez me dire que je n'ai pas l'air assez vieille pour être une grand-mère !	Oliver a passé un temps fou à me montrer comment l'allumer, la charger, comment envoyer des emails.	Oliver a passé des heures à montrer comment l'allumer, le charger, comment envoyer des emails.
French: C'est bien comme ça, léger, frais! = English: It's good as it is, light and fresh!	Et je n'ai vraiment pas confiance dans le fait que ce truc va rester en l'air.	Et je ne fais pas confiance à cette chose pour rester en l'air.
French: Il y a un stage de révision la semaine prochaine. = English: There's a revision course next week.	Et pourquoi pas un burger et une salade, aussi !	Et pourquoi pas un hamburger et une salade aussi!
French: Soulagé? = English: Relieved?	Non, désolée.	Non, je crains que non.
English: Yes I've seen them. They will be a nightmare. = French: Oui je les ai vus. Ça va être un cauchemar.	Tu veux une écharpe ?	Tu veux un foulard?
English: Well, that will give us a good basis to start with next time. = French: Bon, ça nous donne un bon point de départ d'où partir la prochaine fois.	Vous le méritez.	Tu le mérites.
French: au-revoir = English: Goodbye.	C'est agréable de savoir que son travail est apprécié.	C'est bien de savoir que notre travail est apprécié.
French: Cela risque vite de devenir insupportable. = English: It could quickly become unbearable.	Tu as un vrai penchant pour le jeu et la boisson.	Vous aimez bien jouer et boire beaucoup.
English: Nah, should be alright. = French: Nan, ça devrait aller.	12 ou 13 heures ?!	12 ou 13 heures?! ###
French: Propose à ma mère aussi de lui prendre quelque chose! = English: Ask my mother if you can get her something too!	Tu commences !	Vas-y d'abord!
French: Comme vous dites. = English: You're right there.	Bien, je suppose qu'on pourrait utiliser mon téléphone comme torche.	Bien sûr
English: Do you speak the language?, was it brilliant? = French: Est-ce que vous parlez la langue ? Est-ce que c'était génial ?	Bien sûr. Sur quelles notions avez-vous besoin d'aide ?	Bien sûr - quels concepts avez-vous besoin d'aide avec ?
English: It's a situation which is presently counter productive because if you are stressed and need to take time off, it will only make the staffing situation worse. = French: C'est une situation qui est contre-productive car si vous êtes stressée et avez besoin de repos, cela ne fera qu'aggraver le problème du personnel.	Tu étais censeé apporter les ingrédients.	Vous étiez censée obtenir les ingrédients.
French: je vais vous prendre un café s'il vous plait ! = English: I'll have a coffee please!	Bon, je vais y aller.	Je vais y aller
English: I can't think of anything worse than a rubbish band playing all night. = French: Pour moi il n'y a rien de pire qu'un groupe nul qui joue toute la nuit.	Merci !	Merci!
English: You can use Google Maps... = French: Tu peux utiliser Google Maps...	Si nous devons mourir, nous pourrions aussi bi	Si nous allons mourir, nous pouvons aussi bien
French: ce serait bizarre... tu crois que ça pourrait être bon? = English: That would be strange... do you think it could be good?	En début de saison, tous les couples ont encore plein de canetons.	Au début de la saison, tous les couples de canards ont encore beaucoup de canetons.
French: Exactement! = English: Exactly!	J'étais mort de faim, et tu sais comment je suis quand j'ai faim... J'ai tourné en rond pendant facile une heure.	Je me suis fait un sang d'encre, et tu sais comment je suis quand je suis "hangry"... J'ai marché pendant, genre, une heure.
French: Peut-être pour les esquimaux, mais pas pour moi. = English: Perhaps for the eskimos, but not for me.	Je comprendrais - il peut parfois paraître un peu intimidant.	Je comprendrais - il peut parfois paraitre intimidant.
English: As I said I am the boss and you will do as you are told = French: Comme je le disais, je suis le chef et tu vas faire ce qu'on te demande.	Je vais attraper l'hôtesse quand elle passera.	Je vais attraper l'hôtesse quand elle passera.
French: Non non c'est inutile. = English: No no, it's not worth it.	Je m'inquiète pour ma mère.	Je suis inquiet pour ma mère.
English: I get most of them though. = French: Mais la plupart sont pour moi.	Si je récupère quelques recettes de cocktail et que j'achète tous les ingredients, les fruits, la menthe, le citron et le citron vert, etc.	Si je prends des recettes de cocktails et que je vais acheter tous les ingrédients, les fruits, la menthe, le citron, le citron vert etc.
English: I will get them out as soon as I can, but I only have two hands. = French: Je les sortirai dès que je pourrai mais je n'ai que deux mains.	Est-ce qu'il y a des femmes dans votre entourage, au travail ou ailleurs, que vous trouvez difficiles à vivre ?	Y a-t-il des femmes autour de vous, dans votre travail ou ailleurs, que vous trouvez plutôt difficiles à gérer?
English: I spend weekends studying birds and looking for rare species. = French: Je passe des weekends à étudier les oiseaux et à chercher des espèces rares.	Vous faites quoi comme travail ?	Qu'est-ce que vous faites dans la vie?
French: Allez, en route maintenant, en traînons pas sinon on va arriver dans plusieurs jours ! = English: Ok, off we go now. Let's not dawdle otherwise we'll be there in several days time!	Est-ce que ton chef s'est vraiment énervé ?	Votre patron était-il très en colère?
French: Pensez à une expérience très simple ! = English: Think of a very simple experiment!	Je le savais.	Je le savais!
English: I meant spit out your chewing gum, you know the school rules = French: Je voulais dire, crachez votre chewing-gum, vous connaissez le règlement de l'école.	J'aime juste pas rester à ne rien faire.	Je n'aime pas rester immobile.
English: Do you have anything left to eat? = French: Il te reste quelque chose à manger ?	J'ai gagné une fois Mr Univers, je vous le dit.	Je suis une fois Mr Univers, je vous le dis.
English: Are your catering department reliable? = French: Est-ce que votre service de restauration est fiable ?	Mais vous ne pourriez pas vous forcer à voir ça de façon rationnelle ?	Bon, vous ne pouvez pas vous forcer à être rationnel à ce sujet?
English: oh! = French: Oh !	L'ascenseur est souvent en panne.	Cette ascenseur est souvent en panne.
French: Tu m'as l'air en forme ! = English: You look very well!	Synthétique !	Synthétique!
English: And maybe get a ice- pack for your swollen eye where your mother must have hit you. = French: Et peut-être un pack de glace pour votre œil gonflé où votre mère a dû vous frapper.	Ou est-ce que tu as des amis qui pourraient jouer de leurs instruments ?	Ou avez-vous des amis qui pourraient jouer des instruments?
French: Je veux que tous les élèves profitent de votre expertise. = English: I want all the students to benefit from your expertise.	Bonne chance quand cela arrivera en première page des journaux.	bonne chance quand ça va faire la une des journaux quotidiens
English: I love it when they give free food! = French: J'adore quand ils donnent de la nourriture gratuitement.	J'espère que le chat n'est pas dans les parages, sinon je vais lui donner un coup de pied.	J'espère que le chat n'est pas là ou je vais le frapper.
English: You too, Arthur. = French: Vous aussi, Arthur.	L'Amérique du sud était vraiment intéressante, différente de chez nous.	L'Amérique du Sud était vraiment intéressante, différente de chez nous.
English: Have you had a good day at work? = French: Vous avez passé une bonne journée au travail ?	Une minute, je viens seulement de mettre l'eau à chauffer pour les pâtes.	Attends, je n'ai mis l'eau que pour la pasta.
English: First the train was late so when it came it was full and there were no seats left. = French: Déjà mon train était en retard, donc quand il est arrivé il était plein et il ne restait aucun siège de libre.	Elle n'arrête pas de voler mes mots croisés.	Elle me pique toujours mon sudoku.
French: Ce qui compte, c'est qu'il y ait une jolie infirmière comme ça qui te fasse des massages. = English: What matter is that there's a pretty nurse who gives you massages.	Mais je n'ai pas préparé la présentation que je dois faire là-bas.	Mais je n'ai pas préparé la présentation que je suis censé faire là-bas.
French: Quelles espèces rares cherchez-vous ? = English: What rare species do you look out for?	Est-ce que c'était pour le petit déjeuner ?	C'était pour le petit déjeuner?
French: Je sais que quand tu as besoin de calme, il te faut vraiment tu calmes ! = English: I know that when you need peace and quiet, you really need peace and quiet.	Ça prendra une minute de vous faire un jus d'orange pressé.	Ça va prendre une minute pour presser le jus d'orange
French: oui j'ai pu déjeuner = English: Yes, I got to have lunch.	Celui qui traverse la jungle.	Les chemins qui coupent la jungle.
French: Ce sera l'heure de l'apéro = English: It'll be time for pre-dinner drinks.	Je ne trouve pas que les pâtes et le poisson aillent bien ensemble mais nous avons tous des préférences différentes.	Je ne pense pas que les pâtes et le poisson vont bien ensemble mais nous avons tous des goûts différents.
English: Just sear it until its brown and caramalised then put in a casserole with carrots, celery, some seasoning and cover with stock = French: Saisis-le simplement jusqu'à ce qu'il soit brun et caramélisé et mets-le dans une cocotte avec des carottes, du céleri, un peu de condiments et couvre-le de bouillon.	J'ai déjà une boisson, merci.	J'ai une boisson ici merci.
French: pour la décoration, tu pensais à quoi ? = English: What were you thinking of in terms of decoration?	Et je peux trouver des décorations, des ballons etc.	Et je peux avoir des décorations, des ballons et des choses
French: Des haricots chef ? = English: Beans chef?	Tu n'as rien pris pour toi ? Tu dois avoir faim !	Tu n'as pas eu quelque chose pour toi, tu dois avoir faim?
English: How has the Bella Donna Mia cooked pasta then? = French: Et comment le Bella Donna Mia a-t-il cuisiné des pâtes ?	Oh mon Dieu !	oh mon dieu !
English: It's either the bump on the head I got or you've been eating way too many mushrooms! = French: Soit c'est le coup que j'ai reçu sur la tête, soit vous avez mangé beaucoup trop de champignons !	Et Trump.	et Trump
English: Perhaps I just need a good holiday? = French: Peut-être que j'ai juste besoin de vacances ?	À part ça, c'est vous qui décidez !	Tout le reste, c'est à vous de décider!
French: Par exemple. = English: For example.	Je suis sûre que nous ne nous reverrons pas avant longtemps, voire jamais, mais n'hésitez surtout pas à revenir me voir si vos problèmes persistent.	Je suis sûr que nous ne nous reverrons pas pendant longtemps, si jamais, mais s'il vous plaît ne pas hésiter à revenir à moi si vos problèmes persistent
French: Que voulez-vous dire par "la pointe"? = English: What do you mean by “the point”?	Est-ce qu'il ne commence pas à faire chaud ici ?	Est-ce que ça chauffe ici?
French: Et, il n'y a pas de canards, plutôt des moutons, et des chevaux... = English: And there aren't any ducks, only sheep and horses...	Tordant !	une émeute!
English: There is no way that I could have stayed any longer at home and looked after myself = French: Il était impossible que je reste plus longtemps à la maison à m'occuper seul de moi-même.	Tapons des pieds et crions fort.	Allons taper du pied et crier très fort.
French: non mais viens c'est trop tard maintenant que tu l'as proposé = English: No, come. Now that you've suggested it, it's too late!	Avez-vous déjà pris l'avion ?	est-ce que tu as déjà pris l'avion?
French: Ah oui ? = English: Oh yeah?	Je trouve qu'elle est peut-être un peu jeune pour toi.	Je pense qu'elle est un peu trop jeune pour toi
French: Cela met toujours une bonne ambiance ! = English: It helps create a good atmosphere!	Elle n'est même pas droite.	C'est même pas droit.
French: Si on doit rester ici encore longtemps, vous pouvez travailler. = English: If we have to stay here any longer, you could work.	C'est un métier un peu spécial.	C'est une drôle d'affaire
