French: avec plaisir! = English: With pleasure!	Do you have any specific ideas?	Did you have any ideas already?
French: Et vous faites quoi sinon? = English: And what else do you do?	Are you a student?	Are you a student?
French: Qu'est-ce que vous faites ? = English: What do you do?	About cats?	On the chats?
French: Nous pouvons utiliser la lampe de mon téléphone. = English: We can use the torch in my phone .	Yes, but use it sparingly, because it uses lots of battery.	Yes, but save it because it consumes a lot of battery.
French: Oui, je vais faire ça aussi. = English: Yes, I'll do that too.	And a camomile tea before going to sleep!	And a cup of chamomile tea before bed!
French: Ils sont encore crus? = English: Are they still raw?	I asked you five minutes ago to chop them and fry them in a pan!	I asked you 5 minutes ago to mince them and fry them in a pan.
French: J'aime beaucoup la bière amère = English: I do like bitter beer.	Could you serve me a pint of that?	Could you serve me a pint?
French: Eh bien je pense que vos principes ne tiennent pas debout. = English: Well I think your principles are flawed	after the school party.	after the school's party
French: La dernière fois j'ai l'impression d'avoir fait une crise d'angoisse, je me suis enfermée dans les toilettes pour pleurer. = English: Last time I think I had a panic attack. I locked myself in the toilet and cried.	I don't know what to do. What do you suggest I do?	I don't know what to do, what can you advise me?
French: Tu as vu s'il y avait de quoi manger au bar ? = English: Did you notice any food available at the bar?	Yes I think there are sandwiches.	yes I think there are sandwiches
French: On les voit d'ici — ce n'est pas très haut, mais il y a différents niveaux de difficulté, et c'est bien pour toute la famille, d'après eux ! = English: You can see them from here - it's not very high, but they have different levels of difficulty, so it's fun for the all the family, so they say!	Ok, but is there a guide to help us?	OK, but is there a guide to help us?
French: Pour la musique j'ai préparé une playlist que je pense que tu vas aimer = English: Concerning music, I've prepared a playlist I think you might like.	That's a good to have thought about non-alcoholic stuff.	For the non-alcoholic, it's very good to have thought of that.
French: Je suis désolée que tu aies passé une si mauvaise journée. = English: I'm sorry you've had such a bad day.	I started to shout at him.	I started shouting at him.
French: Peut-être pourriez-vous regarder si votre téléphone portable capte. = English: Perhaps you can see whether your phone's got any signal.	We might not have the same operator.	We may not have the same operator.
French: Ah, il faudra que tu me le présentes! = English: Ah, you must introduce him to me!	Does he have a parrot?	He has a parrot?
French: On va s'amuser de toute façon. = English: It ll be fun anyway	Yes!	yes!
French: Mais alors vous n'avez jamais eu de problème avec vos anciens voisins ? = English: But you never had problems with the old neighbours then?	It was an elderly woman who couldn't hear a thing and didn't make any noise.	It was an old lady who didn't hear anything and didn't make any noise.
French: Hé ho, vous êtes pas ma mère! = English: Ho, you're not my mother!	It's just that caipirinha reminds me of my travels in Brazil.	It's just that caipirinha reminds me of my trips to Brazil
French: Je n'ai bientôt plus de batterie = English: I don't have much battery left.	And there's no signal.	And we don't have any network.
French: Oui, c'est probable ! = English: Yes, it's very likely!	After a couple of drinks, they'll surely be up for karaoke!	After a few drinks they will be ready for karaoke!
French: Bonjour docteur, = English: Hello doctor.	It's the first time I'm seeing someone. I'm a bit nervous.	This is the first time I consult I am a little nervous.
French: D'accord, mais j'aimerais me reposer encore quelques minutes. = English: Ok, but I'd like to relax for a few more minutes.	Where do you want to go afterwards?	Where would you like to go after that?
French: Et je pourrais oublier ce que vous venez de dire sur ma carte bleue. = English: And I might just forget what you just said about my credit card.	I'll get the air stewardess.	I'm going to get the flight attendant.
French: Dis donc, tu a l'air de bien connaitre ces braves canards ! = English: Well well, you seem to know a lot about these ol' ducks!	Where did you learn all that?	Where did you learn all that?
French: Et d'après vous, quel est mon sujet préféré ? = English: And what do you think is my favourite subject?	I'm certain, given the quality of your essay on the subject, that you are passionate about the future of earthworms.	I'm sure, given the quality of your report on this subject, that you are passionate about the future of earthworms.
French: C'est troublant. = English: It's distrurbing.	It's only from time to time.	It's only sometimes.
French: Comme vous voulez! = English: As you wish!	Right, have a good time!	Have fun!
French:  = English: 	I'm really happy: tonight I'm organising a party at mine!	I am really happy : tonight, I am having a party at my house!
French:  = English: 	Hello chef!	Hello chief.
French: Le point de vue peut être historique ou sociologique. = English: The viewpoint can be historical or sociological.	What happened at the time?	What happened at that time?
French: Je suis d'accord, mais ce serait plutôt à elle de l'organiser. = English: I agree, but it should be up to her to organise it.	I'm just one of many employees in this department.	I am just one employee among many, in this department.
French: surtout que nous n'avons pas de tente pour nous abriter = English: Especially as we don't have a tent to shelter in.	And it's starting to get a bit chilly.	and that it is starting to get a little bit cold.
French: On pourrait laisser une trace comme Hansel et Gretel pour éviter de nous perdre encore plus. = English: We could leave a trail like Hansel and Gretel to make sure that we don't get even more lost.	Suits me!	that suits me!
French: Toi ! = English: You!	Extreme!?	Extreme!
French: Du poulet à la crème ? = English: Chicken with cream?	Very surprising!	Surprising!
French: Pas très bien non. = English: Not really, no.	I don't like flying at all, especially when the weather's bad like today.	I don't like flying at all, especially when it's bad weather like today.
French: J'allais vous suggérer la même chose moi-même ! = English: I was going to suggest that too!	Well, I think I have everything I need to solve the problem now!	Well, I think I now have everything I need to fix this problem!
French: Tu penses que les migrations des canards seraient dues à des facteurs socio-économiques ? = English: Do you think that the ducks' migration is due to socio-economic factors?	Perhaps pollution has increased?	Maybe the pollution has increased?
French: Nous aurions intérêt à bouger vite. = English: We had better move fast.	The problem is light.	The problem is the light.
French: Et je pense qu'elle me suit... = English: and I think she follows me...	She follows you?	She follows you?
French: Est-ce qu'il y a un bouton en cas d'urgence ? = English: Is there an emergency button?	Well look, you're just in front of it.	Well, look, you're in front of it!
French: Nous devrions nous mettre en route. = English: We had better get a move on.	With night falling, it could get cold pretty quickly now.	With the night falling, it is likely to get cold quite soon now.
French: Ah, la commande de la 8 est arrivée. = English: Ah, 8's order's just in.	The starter's just two melon soups.	The entrance is just two melon soups.
French: J'adore la frangipane ! = English: I love frangipan!	It's so good!	It's so good!
French: Cela m'a fait très très plaisir également. = English: It was really really lovely to see you too.	I'll come back.	I'll be back.
French: C'est la première fois que je prends l'avion. = English: This is my first time flying.	Really?	Is that true?
French: Et la musique ? = English: And how about music?	You still play the piano, I hope?	Are you still playing the piano?
French: Il portera sur tout ce que nous aurons étudié d'ici mardi prochain, donc commencez bientôt à réviser. = English: We will cover all the material up to next Tuesday, so start studying soon!	Ok, if I have any questions, can I ask you them by email?	Okay, if I have any questions, could I ask them to you by email?
French: Ou une glace ? = English: Or a lolly?	Yeah, maybe later!	yes later perhaps!
French: une grosse journée.... = English: A long day...	Hence the coffee and the mojito...	where the need for coffee and mojito...
French: Pardon, au nord du 45ème parallèle = English: Sorry, north of the 45th parallel.	Shall I bring you your beer in the bath?	Do you want me to bring you your beer in your bath?
French: Est-ce que vous avez un vin particulièrement local ? = English: Is there a wine that is particularly local?	Perhaps you would be better at the back table over there?	You might be better at the table in the back there?
French: Pourquoi est-ce qu'on n'en apprend pas plus à l'école sur les inconvénients de la dette et sur comment prendre soin de notre santé mentale ? = English: Why does school not teach us more about the negatives of debt and looking after our mental health?	Each teacher is specialist in a subject.	Each teacher is a specialist in a subject.
French: Je dis ça, mais ça ne me regarde pas. = English: Not that it is my business	Ho, you're not my mother!	Hey, you are not my mother!
French: Vous serez peut-être mieux à la table du fond là-bas ? = English: Perhaps you would be better at the back table over there?	It's quite intimate, slightly removed form the other customers.	It's quite intimate, a little removed from the rest of the customers
French: D'après vous, qu'est-ce qui vous a fait peur ? = English: In your opinion, what made you scared?	The responsibility?	Responsibilities?
French: Cela est très intéressant..... = English: That's very interesting...	Do you dream that you're eating ice-cream during the night before waking up and eating it?	Do you dream of eating ice cream before you wake up and eat it?
French: Il y a aussi des pêcheurs qui pataugent dans la rivière, mais ils doivent faire attention aux tortues serpentines. = English: There are fishermen wading in the river as well but they need to watch out for snapping turtles.	There are turtles?	Are there any turtles?
French: Tu ne veux pas aller faire une petite randonnée? = English: Don't you want to go for a little hike?	The mountains are beautiful here!	The mountains are beautiful here!
French: Un taxi semble une bonne idée ! = English: A taxi seems like a good idea!	As for me, I've planned to meet some friends who live there.	on my side, I have planned to meet friends who live there.
French: Les avez-vous appréciés ? = English: Did you enjoy them?	No, for lunch.	No, for lunch.
French: Bien sûr, tu seras le meilleur James de tous les temps ! = English: Of course, you'll be the best James ever!	I don't really look like him...	I don't look like him so much...
French: Qu'est-ce qui va grandir ? = English: What will grow?	Right, I'm going to lie down and look at the stars.	Okay, I'm going to lie down and watch the stars.
French: Je vais devoir essayer de m'en souvenir, je la connaissais quand j'étais jeune. = English: I ll have to try and remember it from when I was younger	Have you been drinking?	Have you drunk?
French: Discrimination envers les alcooliques ! = English: Discriminating against alcoholics!	I'm not allowed to serve drunk customers.	I am not allowed to serve customers who are drunk.
French: Le Chili aussi est un beau pays. = English: Chile is a beautiful country too.	You'll find animals other than these poor ducks!	You will find other animals than these poor ducks!
French: Je ne sais pas trop. = English: I don't really know.	It depends on where we organise it.	Actually, it depends on where we organize it.
French: Heureusement pour moi que j'avais du pain dans mon sac, sinon les canards seraient rentrés chez eux le ventre vide. = English: lucky for me I had some bread in my bag or the ducks would have gone home with empty stomachs.	I still have some left if you want.	I still have some, if you want.
French: Est-ce que vous voyagez pour le travail ou pour des vacances ? = English: Are you travelling for work or a holiday?	I'm going to a seminar on the fear of flying.	I'm going to a seminar on fear of flying.
French: le mojito est arrivé = English: The mojito is here.	I ordered an orange juice.	I took an orange juice.
French: Vous savez s'il y a un café près d'ici ? = English: Do you know if there is a cafe close by to here?	Wait... I think so.	Wait... I think so.
French: J'ai mes propres projets. = English: I have some plans of my own.	Perhaps we should bang on the doors to make some noise.	Shouldn't we bang on the doors to make some noise?
French: Je préférerais un grand verre de vin, merci. = English: I would prefer a large glass of wine thank you.	I'm not sure the doctor would agree, but I can always ask him.	I am not sure that the doctor will agree, but you can ask him!
French: Oui un whisky, parfait. = English: Yes a whisky, great.	I've just witnessed an accident.	I just witnessed an accident.
French: ça marche ! = English: Ok then!	Let's stay here next to the pool then.	let's stay here near the pool then
French: Est-ce autorisé ? = English: If that's allowed?	Oh but you're a bit of a character!	Oh but you have character!
French: Je suis entouré d'incompétents = English: I'm surrounded by incompetent people.	I mean, I didn't mean that about you...	Finally, I don't mean that for you...
French: Je vais devoir faire quelques recherches. = English: I will have to do some research.	You need to go to the south, to the Tierra del Fuego.	You must especially go south, to Tierra del Fuego.
French: Oui, sûrement. = English: Yes, most likely.	Oh I understand!	Ah I understand!
French: Un de mes amis est harcelé parce qu'il porte des lunettes et je veux l'aider. = English: One of my friends is being bullied because he wears glasses and I want to help him.	What has wearing glasses got to do with these brutal acts?	What role does wearing glasses play in these brutal acts?
French: La porte s'ouvre. = English: The door's open.	Goodbye, you old Scrooge.	Goodbye old miser!
French: Cela me semble une curieuse histoire. = English: That sounds like a strange story.	I'm going to go get my science fiction book.	I'm going to go get my science-fiction book.
French: Ton chef t'invite au théâtre ? = English: Your boss is inviting you to the theatre?	I'm not sure I'm ok with that.	I'm not sure I agree.
French:  = English: 	We should have reached the road ages ago. I get the feeling we're lost.	It feels like we should have reached the road by now, I feel like we're lost...
French: Je suis venu avec ces tomates que j'ai trouvées au marché ce matin, je me suis dit que ça pourrait vous inspirer quelque chose de beau et de bon. = English: I've brought these tomatoes I found in the market this morning. I thought they could inspire you to make something that looks and tastes good.	They're of different sizes, colours and flavours.	They are of different sizes, colors and flavors.
French: Combien cela va-t-il coûter de faire réparer la voiture ? = English: How much is it going to cost to get the car fixed?	Not very much, but the replacement part has to be ordered.	not very expensive, but we have to order the spare part.
French: Pourquoi pas, mais là je profite encore un peu de la piscine. = English: Why not, but right now I'm making the most of the pool for a little bit longer.	Don't you want to do some lengths?	You don't want to do a few lengths?
French: Très bonne idée. = English: Very good idea.	Climbing that hill will certainly give us a clear view and the village will be lit up so we'll easily see it in order to go in the right direction.	We will be able to see the village from the top of the hill and it will be lit so we will be able to find it easily.
French: Plutôt une sorte de stress. = English: More a kind of stress.	But how about you? Doesn't it stress you out at all?	But you, it doesn't stress you at all?
French: C'est noté, merci encore. = English: Got it! Thanks again.	Enjoy the rest of your day, Doctor.	Have a good end of the day, Doctor.
French: Moi, ma journée a été excellente. = English: My day was excellent.	But how did you get home?	But how did you get home?
French: N'hésitez pas à revenir. = English: Feel free to come back up.	Anyway, have a good evening!	Good evening anyway!
French: OK. = English: Okay	Right, I acknowledge that the problem is a real headache and requires careful consideration.	Okay, I realize that the problem is really a headache and requires a deep thought.
French: En fait ça dépend de l'endroit où on organise ça. = English: It depends on where we organise it.	If we do it at mine, I can't invite more than 15 people.	If we do it at my place, I can't invite more than 15 people.
French:  = English: 	Hey, have I seen you before by this pond?	
French: Ah mais je veux bien aller faire de l'escalade avec toi, mais pas aujourd'hui. = English: Oh but I would like to go climbing with you, just not today.	And how about doing a few lengths in the pool?	And if we went swimming in the pool?
French: j'ai des principes, je vous l'ai dit = English: I have principles, as I've told you.	I suggest you guarantee me a good mark this year and I'll make an effort.	I propose to guarantee myself good marks this year and I'll make an effort.
French: J'ai été très déprimé et elles affectent sérieusement ma mémoire et me font dormir. = English: I've been quite depressed, and they affect my memory badly and make me very sleepy.	Well, you can expect side effects like sleep or memory problems, but cooking your shoes is another matter.	Well, we can expect side effects on sleep or memory, but cooking your shoes is another matter.
French: Je croyais que oui... = English: I thought you did...	I had a Rottweiler but I had to get rid of it. It ate my neighbour.	I had a rottweiler but I had to get rid of it, it ate my neighbor...
French: Nos clients totalement affamés ! = English: our hungry, hungry customers!	But you told me you were going to the market this morning!	but you told me you would go to the market this morning!
French: Ah bon, pour quelle raison ? = English: Oh really, why?	Can you not find any talking points with them?	You don't find any topics to talk about with them?
French: Non, pour le déjeuner. = English: No, for lunch.	But it's the butter that goes with them that's good.	But, it's the butter that goes with it that is good;
French: Génial ! = English: Great!	That's some experience!	It's a great experience!
French: Est-ce qu'on invite une ou deux autres personnes et nous pourrions jouer au poker ensemble ? = English: Shall we invite one or two of the others and we can all play poker?	Great idea!	Great idea!
French: Qu'est-ce que tu veux dire ? = English: What do you mean?	We take scallops.	We take scallops
French: Mais, comme je suis un peu gourmande, j'ai tendance à manger souvent des croissants ! = English: But since I'm a bit of a food lover, I tend to eat croissants quite often.	Yes, it's a fantastic job!	Yes, it's a fantastic job!
French: Le personnage principal est un généalogiste et il essaie de donner du sens à une histoire de famille sur des contrebandiers et un trésor de souverains d'or.  = English: The main character is a genealogist and he is trying to make sense of a family story about smugglers and a cache of gold sovereigns.	That sounds like a strange story.	This seems like a curious story.
French: Pour le non alcoolisé, c'est très bien d'y avoir pensé = English: That's a good to have thought about non-alcoholic stuff.	As for being outside, that'll be great. I have marquee in case it starts raining.	As for the outside, it will be very good, I have a tent in case it starts to rain.
French: Parfait. = English: Perfect.	Good luck.	Good luck.
French: Je n'ai pas trouvé de poubelle sur le trajet = English: I couldn't find a bin on the way in.	There you go, it's done now.	that's done now.
French: Pour votre séminaire, le test ce sera quand vous ferez votre vol de retour ! = English: The test of your seminar will be when you have to fly back!	Oh no... I'd forgotten that I'd need to do this all over again on the way back...	Oh no... I forgot that we have to start again on the way back!
French: C'est son premier vol et je lui ai racontez vos superbes petits fours. = English: It's her first flight and I told her about your amazing petits fours.	So, is it good?	So, is it good?
French: Je comprends. = English: I understand.	But are there activities for which you're all together? Walking, board games, shows...?	But do you have any activities where you are all together: walks, board games, shows....?
French: non mais viens c'est trop tard maintenant que tu l'as proposé = English: No, come. Now that you've suggested it, it's too late!	I'll order cocktails	I order cocktails
French: Votre travail consiste en quoi ? = English: What does your job involve?	I develop software for companies.	I develop software for companies.
French: Je me souviens de lui, et c'est vrai qu'il te regardait toujours d'une façon franchement déplacée. = English: I remember him. He did always stare at you in a way that was frankly inappropriate.	A young girl working in the retirement home?	A young girl who works in the retirement home?
French: Pour le repas de ce soir, nous attendons 10 personnes... = English: We're expecting 10 people for dinner tonight...	I suggest we discuss the menu together.	I suggest we think about the menu together...
French:  = English: 	I always have bread left at the end of the week and I like coming here to enjoy the peace and quiet.	I always have some bread left over at the end of the week and I like to come here to enjoy the quiet.
French: Désolé, nous ne servons ce plat que le midi. = English: Sorry, we only serve that dish at lunchtime.	And I advise you to have just the ice cube without the whisky.	And I suggest you take only the ice cube without the whisky.
French: Je dois avouer que quand je goûte aux repas que l'on nous sert, je me pose des questions .... = English: I must say that when I taste the meals they serve us, I do wonder...	And no time to take a nap given the workload - it's an outrage!	Besides, no time to nap because of the workload, it's scandalous!
French: C'est pas toi c'est moi qui ai peur en avion ok ? = English: It's me not you who's scared of flying, ok?	And I'm talking about essential oils.	And I mean essential oils
French: En tout cas, je suis très content de fêtes ça avec toi. = English: Mind you, I m very happy to be celebrating with you	Yes, it's going to be lovely!	Yes, it s going to be fun!
French: Bon, tu préférerais aller au bar et prendre un verre ? = English: Well, would you prefer to go to the bar to get a drink?	How about in an hour?	in an hour is that OK?
French: Oh ma pauvre chérie! = English: Oh my poor darling!	What happened?	What has happened to you?
French: Mais vous, qu'est-ce qui vous intéresse? = English: So what are you interested in?	Which subjects do you find useful?	What subjects do you think are useful?
French: Entendu. = English: Ok.	I like maps.	I like playing cards.
French: Et bien sûr, les faucons arrivent pour chasser les pigeons. = English: And of course the hawks come for the pigeons.	Yes, it's the food chain.	Yes, it's the food chain.
French: Je n'ai plus de pain et il se fait tard = English: I don't have any more bread and it's getting late.	It was a pleasure to meet you!	It was a pleasure!
French: Je me suis aussi entrainée quand je travaillais dans un bar réputé à Londres. = English: I also did some training while working in a famous bar in London.	Great!	Great!
French: Qu'est-ce que vous avez comme gin? = English: What type of gin do you have?	Oh sorry, I didn't see you there. Good evening, sir!	Oh sorry, I didn't see you, good evening sir!
French:  = English: 	Sir, may I ask you a question please?	Sir, may I ask you a question please?
French: J'espére. = English: I hope so.	Give me you email address. I'll send you the advert for your next concert.	Give me your email, I'll send you the advertising for our next concert.
French: Payer encore plus ? = English: Pay even more?	And what if it doesn't work?	And if it doesn't work?
French: Je n'ai aucune empathie pour Anya, à tous les coups il va lui léguer plein d'argent. = English: I don't feel that sorry for Anya, he will leave her lots of money I imagine	In a way she'll have earnt it...	In a way, she deserves it...
French: Des chants horribles et ma voix horrible. = English: Terrible songs and my terrible singing"	You should go to speak to the community life council.	You should have addressed the house council.
French: Et ces enfants passent leur temps à m'arroser ! = English: And those kids keep splashing me!	But what are you talking about?	But what are you talking about?
French: Non bien sûr. = English: No, of course not.	I hope then that you get to go out on walks, even if it's by yourself.	I hope you are out walking, even alone.
French: Je suis dans un avion et j'ai très peur. = English: I'm on an aeroplane and I am very scared.	Is it your first time taking the plane?	Is this your first time on an aeroplane?
French: Je ne comprends pas pourquoi je n'ai eu que 12/20 au contrôle. = English: I don't understand why I only got 12/20 on the test.	I think it deserves more points than that.	I think it deserves much more points than that.
French: Ah oui ? = English: Oh yeah?	Really?	Really?
French: Il chantait tout le temps. = English: He used to sing all the time.	You could never concentrate at home.	We could never concentrate at home.
French: C'est sûrement trop tard pour louer une salle alors. = English: It's most probably too late to hire a room then.	Do you know any nice bars near to here that would be big enough?	Do you know a nice bar not too far away, and especially big enough?
French: Aucun problème, restez assise. = English: No problem, stay seated.	What are you worried about?	What are you worried about?
French: Tu vois ce que je veux dire ? = English: Do you know what I mean?	Oh yes, I know just what you mean!	Oh yes, I see very well!
French: Oui, peut-être que du chou kale et du brocoli leur feraient plus de bien. = English: Yes maybe some kale and broccoli would be better for them.	Look, the little ducklings are coming in single file!	Oh look, the little ducklings are coming in a line!
French: Mes enfants me montrent régulièrement comment l'allumer et même comment écrire des mails, mais... = English: My children regularly show me how to turn it on and even how to write emails, but...	with my poor head, it's too difficult!	with my poor head, it's too difficult!
French: Je ne suis pas ivre, je tiens encore debout ! = English: I'm not drunk, I'm still standing!	But you're being incoherent and I can't tell whether it's Diabla slipping up in its translation or a reflection of your mental state.	But your words are incoherent, and I can't tell if it's indeed slips of the translation by Diabla, or a reflection of your mental state.
French: Non il faut pas les manger! = English: No you can't eat them!	They could be toxic!	it can be toxic!
